Member_number,Date,itemDescription
1161,14-03-2015,spread cheese
1800,16-04-2015,hygiene articles
1717,09-11-2015,margarine
1888,06-06-2015,butter milk
2138,04-03-2015,shopping bags
1866,13-02-2015,baking powder
4745,29-09-2015,shopping bags
1269,12-09-2015,butter milk
4721,15-06-2015,spices
2885,22-03-2015,sliced cheese
1435,24-04-2015,rolls/buns
1887,03-02-2015,whipped/sour cream
4776,26-03-2015,candy
4313,16-05-2015,bottled beer
3545,28-08-2015,whole milk
2307,12-03-2015,shopping bags
1215,18-01-2015,sliced cheese
1428,18-01-2015,yogurt
4297,27-10-2015,specialty bar
1812,14-10-2015,margarine
2217,02-12-2015,domestic eggs
2378,15-04-2015,soda
2397,23-06-2015,whipped/sour cream
3419,20-08-2015,cream cheese 
4131,29-03-2015,rolls/buns
2220,04-08-2015,yogurt
3870,21-03-2015,frozen fish
1483,14-06-2015,rolls/buns
3449,29-11-2015,brown bread
1959,13-12-2015,pot plants
4825,17-01-2015,bottled water
3289,02-05-2015,whipped/sour cream
1256,29-08-2015,oil
3369,23-03-2015,abrasive cleaner
2191,25-10-2015,yogurt
4645,06-12-2015,yogurt
3818,08-08-2015,cat food
3857,04-11-2015,canned beer
3651,31-07-2015,cream cheese 
3689,29-07-2015,soda
2361,03-10-2015,soda
2513,15-12-2015,zwieback
2110,29-07-2015,soda
4895,21-07-2015,salty snack
2756,31-07-2015,processed cheese
1960,09-01-2015,pastry
3924,29-10-2015,curd
3020,27-08-2015,specialty fat
4531,10-08-2015,pastry
4901,14-02-2015,pasta
3787,24-09-2015,salty snack
3688,24-09-2015,soap
4717,10-04-2015,shopping bags
2210,25-09-2015,sweet spreads
4152,29-05-2015,bottled beer
4507,18-06-2015,softener
1118,13-05-2015,curd
4953,07-05-2015,salty snack
4417,21-01-2015,sparkling wine
2358,15-12-2015,dishes
3122,05-02-2015,bottled water
3920,10-05-2015,napkins
4592,08-12-2015,oil
1326,09-11-2015,canned beer
3729,29-11-2015,instant coffee
2627,31-10-2015,frozen vegetables
3393,07-11-2015,newspapers
4302,03-08-2015,salty snack
1734,15-02-2015,frozen vegetables
3635,26-02-2015,frozen dessert
3232,18-12-2015,frozen vegetables
2805,18-04-2015,pastry
2214,19-01-2015,butter milk
4725,02-12-2015,rolls/buns
4975,02-11-2015,soda
3393,23-02-2015,candy
4456,08-08-2015,bottled water
4744,29-08-2015,candy
1264,30-07-2015,mayonnaise
3104,18-05-2015,fruit/vegetable juice
4966,25-01-2015,fruit/vegetable juice
4183,15-01-2015,shopping bags
3786,10-02-2015,baking powder
3299,28-02-2015,hard cheese
1656,07-07-2015,bottled water
4753,05-03-2015,bottled beer
2857,18-04-2015,soda
3692,18-10-2015,yogurt
2613,23-08-2015,newspapers
3509,08-07-2015,oil
3048,06-10-2015,white wine
1160,21-08-2015,bottled beer
2629,26-04-2015,hard cheese
1444,06-06-2015,whole milk
2578,01-12-2015,yogurt
4184,28-06-2015,white bread
3201,27-11-2015,soap
3311,02-05-2015,rolls/buns
4294,08-01-2015,bottled water
2283,18-01-2015,margarine
3325,07-11-2015,other vegetables
3621,02-11-2015,butter
1968,03-10-2015,newspapers
3717,01-04-2015,frozen vegetables
4704,18-08-2015,coffee
3904,11-05-2015,curd
2336,07-10-2015,rolls/buns
3546,22-11-2015,Instant food products
3797,23-08-2015,processed cheese
4607,15-12-2015,pastry
4522,18-05-2015,pickled vegetables
4695,13-10-2015,canned fish
4919,30-03-2015,salty snack
3289,15-03-2015,misc. beverages
1200,26-09-2015,canned fish
3789,06-09-2015,shopping bags
1289,08-11-2015,canned beer
2415,29-04-2015,soda
1943,30-09-2015,potato products
3685,26-08-2015,female sanitary products
3447,27-11-2015,soda
2164,08-10-2015,coffee
4107,05-02-2015,mustard
2744,19-05-2015,sugar
1051,12-08-2015,dishes
2087,09-04-2015,pastry
1020,13-10-2015,frozen fish
2443,12-01-2015,napkins
4911,07-01-2015,cleaner
3835,16-09-2015,long life bakery product
2363,22-05-2015,white wine
2344,19-04-2015,oil
3911,15-02-2015,soda
1450,08-07-2015,instant coffee
3495,18-11-2015,oil
1625,27-11-2015,napkins
3265,09-12-2015,domestic eggs
3247,01-11-2015,dishes
1777,08-07-2015,brown bread
1862,05-09-2015,seasonal products
2942,01-02-2015,flower (seeds)
2932,22-01-2015,newspapers
4049,01-08-2015,whole milk
1954,06-08-2015,bottled beer
2321,16-06-2015,other vegetables
2930,23-03-2015,fruit/vegetable juice
3214,27-03-2015,baking powder
4877,20-06-2015,frozen vegetables
1277,07-06-2015,pot plants
2239,13-12-2015,whole milk
4929,26-03-2015,margarine
1390,02-03-2015,house keeping products
1870,09-09-2015,brown bread
3405,03-04-2015,margarine
2338,08-12-2015,whole milk
2051,11-09-2015,whipped/sour cream
3504,06-07-2015,soda
3405,13-04-2015,fruit/vegetable juice
2512,02-09-2015,coffee
4038,06-11-2015,yogurt
1759,26-09-2015,oil
2813,01-10-2015,female sanitary products
3055,18-08-2015,soft cheese
1733,18-03-2015,oil
1913,18-08-2015,whipped/sour cream
4864,27-03-2015,pot plants
4812,27-05-2015,margarine
3042,05-10-2015,whole milk
4988,04-10-2015,specialty chocolate
4486,21-07-2015,rolls/buns
4069,03-05-2015,pot plants
4600,14-07-2015,whipped/sour cream
3588,05-05-2015,hard cheese
4175,29-01-2015,napkins
2599,30-07-2015,yogurt
4671,15-07-2015,sugar
2270,09-06-2015,yogurt
2494,05-05-2015,semi-finished bread
1406,28-12-2015,waffles
3910,18-12-2015,packaged fruit/vegetables
3358,21-02-2015,fruit/vegetable juice
1943,14-01-2015,UHT-milk
1995,12-06-2015,root vegetables
4666,24-02-2015,whole milk
1994,11-03-2015,whole milk
4892,09-01-2015,curd
3531,29-08-2015,dishes
1148,15-04-2015,dog food
1787,31-10-2015,packaged fruit/vegetables
4215,31-05-2015,oil
2158,01-08-2015,fruit/vegetable juice
2510,29-09-2015,bottled water
3180,19-10-2015,bathroom cleaner
3207,08-08-2015,napkins
1226,12-11-2015,vinegar
1682,25-06-2015,soda
1509,04-11-2015,hard cheese
2364,21-06-2015,coffee
4679,10-11-2015,bottled water
4324,05-01-2015,white wine
3497,14-06-2015,cling film/bags
1008,21-07-2015,domestic eggs
4572,29-10-2015,bottled beer
4030,04-07-2015,cake bar
2422,12-08-2015,bottled water
2694,24-11-2015,frozen fish
3481,03-08-2015,rolls/buns
3821,03-01-2015,newspapers
3752,20-08-2015,flour
3262,08-12-2015,soups
1370,28-06-2015,rolls/buns
1090,31-08-2015,napkins
3862,18-11-2015,butter
4495,08-04-2015,white bread
2492,01-11-2015,newspapers
4688,01-08-2015,white bread
3633,14-07-2015,brown bread
3709,08-08-2015,specialty cheese
1220,09-02-2015,rolls/buns
4236,25-11-2015,frozen vegetables
3308,19-08-2015,yogurt
1183,12-06-2015,other vegetables
1999,24-08-2015,coffee
4828,11-10-2015,shopping bags
3608,12-10-2015,waffles
3983,09-09-2015,long life bakery product
3460,24-07-2015,cream cheese 
1703,21-02-2015,whipped/sour cream
3002,13-08-2015,seasonal products
4836,17-08-2015,whole milk
1561,05-06-2015,flour
4731,04-04-2015,yogurt
3812,13-11-2015,domestic eggs
2097,01-10-2015,shopping bags
4986,28-01-2015,other vegetables
4742,15-11-2015,ready soups
2502,15-04-2015,curd
1135,10-07-2015,butter
2403,14-02-2015,margarine
4234,17-07-2015,baking powder
4068,11-12-2015,specialty bar
2311,30-06-2015,fruit/vegetable juice
1353,21-01-2015,specialty bar
3251,05-07-2015,frozen meals
1748,08-03-2015,whole milk
1638,12-03-2015,bottled beer
2170,10-02-2015,fruit/vegetable juice
3903,06-02-2015,margarine
1245,27-06-2015,processed cheese
3237,28-06-2015,other vegetables
4908,20-05-2015,UHT-milk
1780,12-07-2015,newspapers
1438,11-05-2015,whipped/sour cream
1265,19-01-2015,domestic eggs
3669,10-02-2015,processed cheese
2412,13-03-2015,bottled beer
1818,10-09-2015,rolls/buns
2601,27-06-2015,baking powder
1905,31-07-2015,candy
1407,26-06-2015,pastry
3754,02-01-2015,margarine
2743,05-05-2015,yogurt
2211,22-09-2015,processed cheese
4138,12-06-2015,waffles
4141,12-11-2015,brown bread
4826,15-06-2015,rolls/buns
2685,07-10-2015,butter
3793,02-07-2015,flower (seeds)
4687,23-09-2015,frozen vegetables
2277,18-01-2015,canned beer
4518,20-07-2015,butter
1997,28-12-2015,pastry
4114,07-08-2015,house keeping products
1097,25-09-2015,bottled water
2568,22-09-2015,other vegetables
1997,20-08-2015,bottled beer
4987,07-01-2015,domestic eggs
2404,02-06-2015,cocoa drinks
1619,04-03-2015,flower (seeds)
3640,13-03-2015,coffee
4537,27-10-2015,sliced cheese
3519,30-07-2015,other vegetables
3587,08-06-2015,canned beer
1232,01-07-2015,bottled water
2597,15-08-2015,bottled beer
1878,10-01-2015,candy
2860,01-03-2015,light bulbs
4006,14-06-2015,kitchen towels
4536,13-09-2015,sliced cheese
4180,04-06-2015,semi-finished bread
1384,23-03-2015,bottled beer
3322,11-10-2015,whole milk
2543,13-08-2015,brown bread
3763,27-06-2015,frozen vegetables
4459,08-02-2015,white bread
2736,25-05-2015,soda
1549,18-03-2015,coffee
2047,20-12-2015,bottled water
3754,22-01-2015,roll products 
2667,16-06-2015,shopping bags
1829,19-06-2015,male cosmetics
1376,30-06-2015,cream cheese 
2953,04-01-2015,rolls/buns
3465,14-06-2015,pickled vegetables
3120,23-12-2015,whipped/sour cream
1301,07-01-2015,frozen vegetables
1865,18-10-2015,yogurt
2772,04-12-2015,pastry
1875,22-05-2015,oil
3358,29-03-2015,rolls/buns
3255,05-11-2015,newspapers
3877,27-05-2015,chocolate
1480,24-08-2015,tidbits
2850,27-03-2015,beef
1699,07-07-2015,rolls/buns
3258,20-05-2015,bottled water
4717,03-05-2015,whole milk
3307,28-06-2015,baking powder
2332,15-12-2015,rolls/buns
2431,27-10-2015,cereals
2312,26-03-2015,other vegetables
2232,15-01-2015,whisky
3998,14-12-2015,whipped/sour cream
3054,28-06-2015,yogurt
4550,26-03-2015,other vegetables
1075,20-07-2015,dishes
3898,11-04-2015,soda
3374,27-08-2015,brandy
4262,25-04-2015,newspapers
1151,17-09-2015,pastry
3669,17-01-2015,margarine
4222,27-12-2015,whipped/sour cream
1914,04-06-2015,root vegetables
1306,20-11-2015,rolls/buns
4229,20-08-2015,pastry
2145,12-12-2015,chewing gum
1977,12-01-2015,canned beer
4552,19-06-2015,yogurt
4013,18-03-2015,bottled beer
4566,30-08-2015,napkins
3111,23-12-2015,waffles
3699,12-12-2015,butter
2895,14-08-2015,whole milk
3868,19-08-2015,pastry
3215,24-04-2015,specialty cheese
2461,04-10-2015,whole milk
1452,25-11-2015,rice
4618,16-12-2015,butter
4721,23-05-2015,margarine
2712,21-06-2015,whole milk
1458,24-08-2015,specialty bar
3746,09-11-2015,whipped/sour cream
3596,20-04-2015,canned beer
4120,11-12-2015,softener
3215,21-07-2015,sliced cheese
1674,02-04-2015,kitchen towels
3310,14-05-2015,domestic eggs
4783,01-06-2015,other vegetables
3741,14-06-2015,candles
2466,10-10-2015,bottled water
1653,07-12-2015,butter milk
2070,28-06-2015,bottled water
1749,04-01-2015,soft cheese
2625,18-02-2015,newspapers
3002,21-01-2015,light bulbs
1064,25-07-2015,other vegetables
2127,19-11-2015,ice cream
4392,16-08-2015,other vegetables
1649,26-05-2015,yogurt
4375,29-04-2015,canned beer
1699,25-09-2015,sweet spreads
2682,01-12-2015,cream cheese 
2022,03-06-2015,soft cheese
2669,29-03-2015,pastry
3025,19-10-2015,white bread
3019,19-12-2015,rolls/buns
4801,04-08-2015,beverages
3679,25-09-2015,domestic eggs
3380,16-02-2015,misc. beverages
3354,29-11-2015,waffles
1756,23-09-2015,soda
3172,01-03-2015,dish cleaner
3341,15-12-2015,shopping bags
1113,05-08-2015,baking powder
3339,08-12-2015,butter milk
3015,10-10-2015,coffee
3144,27-04-2015,rolls/buns
4106,06-03-2015,condensed milk
1798,01-01-2015,curd
1493,22-05-2015,hygiene articles
4454,23-12-2015,oil
2935,09-01-2015,newspapers
3328,12-09-2015,soda
3915,30-09-2015,brown bread
1968,21-08-2015,rolls/buns
4355,13-03-2015,long life bakery product
1580,07-08-2015,domestic eggs
3703,24-01-2015,yogurt
1497,18-04-2015,coffee
1340,13-03-2015,rolls/buns
1102,27-06-2015,detergent
4223,07-10-2015,onions
4190,27-12-2015,newspapers
4695,22-07-2015,newspapers
1421,23-02-2015,newspapers
3293,09-05-2015,misc. beverages
3543,25-02-2015,pastry
1153,26-10-2015,mustard
4097,14-11-2015,vinegar
1073,03-12-2015,dishes
3390,21-02-2015,frozen meals
1768,19-05-2015,long life bakery product
1186,26-04-2015,canned fruit
4138,04-09-2015,detergent
2816,11-10-2015,salty snack
2568,19-05-2015,flour
4512,07-03-2015,red/blush wine
1628,19-11-2015,bottled water
3911,05-03-2015,margarine
3736,31-03-2015,candy
4644,02-07-2015,brown bread
1583,31-05-2015,fruit/vegetable juice
3338,17-08-2015,whole milk
2427,08-01-2015,whipped/sour cream
1302,26-08-2015,rolls/buns
4499,29-10-2015,brandy
1785,03-02-2015,soda
3961,24-12-2015,processed cheese
2326,16-07-2015,UHT-milk
1319,18-08-2015,pastry
2370,06-05-2015,shopping bags
3332,31-01-2015,oil
2473,01-07-2015,chewing gum
2810,30-12-2015,whipped/sour cream
1033,22-04-2015,rolls/buns
4222,27-05-2015,flour
3679,21-09-2015,newspapers
2212,27-08-2015,newspapers
1507,22-06-2015,sugar
2870,21-01-2015,specialty bar
3429,26-04-2015,rolls/buns
4148,09-04-2015,newspapers
2970,30-12-2015,rolls/buns
2013,30-08-2015,domestic eggs
3967,30-05-2015,specialty bar
2885,15-05-2015,rolls/buns
3935,02-07-2015,rolls/buns
3283,01-05-2015,mayonnaise
3268,06-11-2015,rolls/buns
3677,30-04-2015,canned fish
3495,27-06-2015,yogurt
1410,04-10-2015,white bread
2440,06-06-2015,bottled water
4088,13-01-2015,curd
2469,23-09-2015,cream cheese 
4229,06-03-2015,rolls/buns
2728,02-08-2015,butter milk
4694,25-01-2015,brown bread
2836,29-12-2015,shopping bags
1311,12-02-2015,mustard
1760,23-01-2015,sugar
3656,02-03-2015,whole milk
3720,28-05-2015,candles
2996,26-09-2015,hygiene articles
1949,22-07-2015,frozen vegetables
4498,11-02-2015,cream cheese 
2447,28-12-2015,soups
1952,23-03-2015,hygiene articles
4099,27-01-2015,fruit/vegetable juice
1804,12-03-2015,root vegetables
1510,16-05-2015,rolls/buns
2879,18-04-2015,rolls/buns
4899,12-03-2015,salt
4326,29-09-2015,rolls/buns
1670,17-05-2015,soda
1117,24-05-2015,whipped/sour cream
1346,03-04-2015,sweet spreads
1178,15-11-2015,jam
1649,25-06-2015,bottled beer
4651,21-06-2015,chewing gum
4243,02-04-2015,hygiene articles
4429,21-07-2015,pot plants
4645,25-07-2015,fruit/vegetable juice
4019,24-07-2015,domestic eggs
4459,26-04-2015,frozen meals
3006,27-12-2015,frozen fish
1834,17-09-2015,frozen vegetables
3236,04-07-2015,whipped/sour cream
1765,11-03-2015,whipped/sour cream
3855,09-03-2015,chocolate
4392,28-11-2015,shopping bags
3330,26-07-2015,curd
1723,02-09-2015,whipped/sour cream
4110,30-03-2015,bottled water
2600,28-01-2015,frozen vegetables
2946,07-10-2015,pasta
2426,08-09-2015,whipped/sour cream
4170,03-05-2015,instant coffee
1109,06-04-2015,margarine
3429,04-01-2015,hard cheese
2055,04-02-2015,pip fruit
2480,20-09-2015,other vegetables
2441,30-05-2015,whole milk
1054,04-10-2015,margarine
4818,11-01-2015,roll products 
3379,21-01-2015,whipped/sour cream
3939,10-02-2015,ketchup
1367,05-08-2015,yogurt
1043,10-01-2015,whole milk
2231,17-10-2015,napkins
3235,28-12-2015,margarine
4554,16-07-2015,male cosmetics
3245,24-01-2015,pip fruit
2996,19-05-2015,newspapers
2507,05-01-2015,long life bakery product
4186,25-10-2015,oil
3929,28-04-2015,frozen vegetables
3760,22-11-2015,beverages
4928,18-08-2015,cake bar
4217,18-12-2015,bottled beer
1174,11-02-2015,fruit/vegetable juice
4103,19-06-2015,newspapers
4408,13-03-2015,cream cheese 
2588,28-12-2015,coffee
2598,11-11-2015,soda
1518,11-12-2015,ketchup
2702,08-04-2015,whipped/sour cream
1001,20-01-2015,whipped/sour cream
2270,30-09-2015,fruit/vegetable juice
2838,10-11-2015,vinegar
1683,26-05-2015,bottled water
4040,03-04-2015,soft cheese
3897,23-08-2015,salty snack
2200,11-03-2015,onions
4073,29-01-2015,dessert
3700,19-04-2015,soda
3973,10-06-2015,cat food
2715,06-07-2015,salty snack
3967,23-11-2015,sauces
4002,03-09-2015,vinegar
2962,01-03-2015,domestic eggs
4340,25-12-2015,pot plants
2092,06-11-2015,margarine
3143,24-05-2015,whipped/sour cream
2209,03-10-2015,butter
2816,22-08-2015,bottled beer
2659,01-06-2015,brown bread
1588,13-10-2015,jam
1144,15-10-2015,white bread
2166,10-12-2015,waffles
3300,06-10-2015,fruit/vegetable juice
3944,03-01-2015,baking powder
4979,24-04-2015,soda
2630,21-01-2015,soda
4240,29-04-2015,soda
2357,08-07-2015,baking powder
1743,18-04-2015,cream cheese 
1038,02-04-2015,whipped/sour cream
3267,18-01-2015,cat food
3402,06-01-2015,shopping bags
3013,21-08-2015,hygiene articles
4807,27-01-2015,misc. beverages
2172,02-03-2015,specialty chocolate
1388,03-04-2015,cake bar
3309,21-01-2015,shopping bags
2194,05-06-2015,salty snack
4603,21-01-2015,shopping bags
1631,05-02-2015,coffee
2712,11-09-2015,frozen potato products
2757,28-04-2015,specialty chocolate
4761,08-09-2015,soda
2688,22-11-2015,canned fish
2458,23-08-2015,rolls/buns
4087,26-08-2015,long life bakery product
4677,15-10-2015,salt
3250,12-04-2015,liquor
3488,19-08-2015,domestic eggs
1679,24-06-2015,rolls/buns
4820,23-07-2015,syrup
2079,16-05-2015,shopping bags
2460,27-10-2015,newspapers
4286,06-06-2015,rolls/buns
3050,10-08-2015,roll products 
2888,05-09-2015,other vegetables
2376,28-05-2015,margarine
4748,23-03-2015,napkins
2311,06-06-2015,light bulbs
4765,05-07-2015,domestic eggs
4199,04-08-2015,rolls/buns
2592,20-03-2015,rolls/buns
1403,15-05-2015,other vegetables
4031,03-01-2015,soda
1416,04-03-2015,pastry
4022,24-04-2015,soda
3674,22-03-2015,root vegetables
3430,16-04-2015,hygiene articles
1113,29-03-2015,domestic eggs
4178,22-01-2015,baking powder
4037,09-05-2015,canned fish
3917,13-09-2015,soda
4658,14-07-2015,dish cleaner
1408,23-07-2015,soda
4940,17-04-2015,coffee
1639,10-10-2015,mustard
4139,26-11-2015,soda
2799,17-06-2015,brown bread
4041,16-10-2015,white wine
3508,07-02-2015,shopping bags
1584,11-03-2015,long life bakery product
4006,02-07-2015,shopping bags
4593,07-04-2015,hard cheese
4875,22-08-2015,pickled vegetables
2534,09-08-2015,soda
2413,13-12-2015,rolls/buns
1909,10-01-2015,salty snack
4367,15-11-2015,fruit/vegetable juice
4240,28-10-2015,soda
1866,08-11-2015,candy
3905,19-06-2015,shopping bags
4906,16-09-2015,shopping bags
4478,04-12-2015,seasonal products
2765,22-07-2015,domestic eggs
4178,13-11-2015,salty snack
4330,22-06-2015,baking powder
1659,25-03-2015,specialty bar
2406,24-10-2015,dish cleaner
3465,15-01-2015,candles
3178,22-10-2015,bottled water
2218,02-07-2015,frozen dessert
3980,09-04-2015,pastry
2519,14-03-2015,fruit/vegetable juice
2568,09-10-2015,dish cleaner
1130,15-01-2015,cream cheese 
1231,20-05-2015,whipped/sour cream
2654,22-09-2015,rolls/buns
3913,21-03-2015,pastry
3276,23-02-2015,snack products
4094,30-03-2015,rolls/buns
3997,19-07-2015,bottled water
2313,18-02-2015,shopping bags
2716,10-09-2015,zwieback
3923,27-01-2015,bottled beer
4541,18-04-2015,yogurt
4524,26-08-2015,fruit/vegetable juice
1750,08-02-2015,soda
1527,30-12-2015,bottled water
1379,01-07-2015,chocolate
2380,09-10-2015,pastry
3259,02-09-2015,cream cheese 
3268,13-07-2015,specialty cheese
3117,03-03-2015,misc. beverages
1972,02-06-2015,fruit/vegetable juice
1154,06-04-2015,frozen vegetables
2408,25-03-2015,yogurt
2400,22-03-2015,white wine
1286,08-03-2015,yogurt
3505,21-07-2015,white bread
4503,19-12-2015,specialty chocolate
4292,27-03-2015,napkins
1542,22-07-2014,newspapers
1274,10-07-2014,specialty cheese
4182,05-01-2014,whole milk
4401,18-03-2014,bottled water
4766,20-09-2014,bottled water
4880,11-09-2014,cat food
1939,28-03-2014,shopping bags
4341,26-10-2014,shopping bags
4480,17-05-2014,jam
3997,22-11-2014,bottled beer
3674,08-07-2014,cream cheese 
1608,26-07-2014,whole milk
2088,21-09-2014,dishes
3897,09-12-2014,seasonal products
4783,10-05-2014,specialty fat
4813,20-11-2014,pastry
4842,30-06-2014,rolls/buns
2971,04-03-2014,shopping bags
4972,13-12-2014,salt
4215,10-04-2014,newspapers
1001,07-02-2014,rolls/buns
4535,09-07-2014,yogurt
2252,13-04-2014,chewing gum
2433,08-04-2014,margarine
1935,28-08-2014,whole milk
2484,17-08-2014,rolls/buns
2900,23-11-2014,shopping bags
4504,24-09-2014,hygiene articles
4183,12-10-2014,salt
3651,22-06-2014,pastry
1381,05-02-2014,other vegetables
1190,18-05-2014,soda
1262,22-07-2014,pickled vegetables
3555,14-10-2014,curd
3621,04-01-2014,cling film/bags
2831,30-05-2014,butter
3508,15-12-2014,waffles
1468,12-07-2014,bottled water
3269,09-07-2014,tidbits
3844,24-06-2014,soda
4950,30-08-2014,soft cheese
4129,23-10-2014,soda
1596,12-10-2014,margarine
4372,17-04-2014,pasta
2183,13-07-2014,frozen dessert
3617,01-10-2014,misc. beverages
4692,10-08-2014,hygiene articles
2210,30-12-2014,napkins
1605,13-11-2014,whole milk
3604,13-09-2014,yogurt
3524,01-08-2014,semi-finished bread
3928,07-08-2014,domestic eggs
1207,28-04-2014,shopping bags
2578,19-04-2014,mayonnaise
1553,09-05-2014,coffee
3942,01-01-2014,Instant food products
1583,27-11-2014,bottled water
2133,24-05-2014,bottled water
4860,14-11-2014,shopping bags
4548,09-10-2014,brown bread
2610,01-01-2014,domestic eggs
2344,22-02-2014,newspapers
2920,12-05-2014,root vegetables
3847,14-03-2014,coffee
1991,31-10-2014,frozen fish
2241,17-02-2014,rolls/buns
2794,18-02-2014,canned beer
3871,05-10-2014,waffles
4085,15-04-2014,bottled water
3964,11-03-2014,whipped/sour cream
1111,24-10-2014,sugar
1294,14-08-2014,other vegetables
1338,11-08-2014,canned beer
1079,07-10-2014,sweet spreads
1794,14-04-2014,soda
4715,10-11-2014,rolls/buns
4694,01-06-2014,whipped/sour cream
4156,19-08-2014,whole milk
4264,16-03-2014,yogurt
1732,03-04-2014,flour
1161,26-01-2014,bottled beer
4058,07-02-2014,berries
4183,08-10-2014,salty snack
4371,29-03-2014,specialty chocolate
3218,06-01-2014,waffles
3094,02-07-2014,soda
2082,10-10-2014,rolls/buns
3015,31-01-2014,margarine
4582,22-06-2014,root vegetables
4851,20-05-2014,chocolate
3766,20-02-2014,rolls/buns
4199,05-04-2014,curd
3663,28-08-2014,sugar
2044,17-03-2014,whole milk
1566,30-01-2014,bottled beer
3698,22-09-2014,domestic eggs
3815,30-01-2014,rolls/buns
4634,10-05-2014,specialty chocolate
2051,03-12-2014,newspapers
2252,17-12-2014,shopping bags
4502,04-06-2014,frozen vegetables
2169,25-06-2014,bottled beer
3237,07-08-2014,sweet spreads
1999,31-05-2014,dog food
2175,02-11-2014,butter
4177,05-02-2014,yogurt
2014,08-08-2014,soft cheese
2991,22-04-2014,shopping bags
3334,09-01-2014,liquor (appetizer)
1580,24-02-2014,sliced cheese
4094,14-07-2014,fruit/vegetable juice
4163,05-11-2014,newspapers
2991,01-03-2014,waffles
4744,23-12-2014,salty snack
3896,02-04-2014,misc. beverages
2560,19-04-2014,specialty bar
2236,07-01-2014,candy
2778,29-06-2014,other vegetables
3960,14-05-2014,margarine
2258,21-01-2014,ice cream
4286,22-11-2014,yogurt
2239,23-11-2014,soda
4728,11-06-2014,instant coffee
3439,28-03-2014,female sanitary products
3353,13-07-2014,sliced cheese
2127,19-11-2014,specialty cheese
1513,29-05-2014,bottled beer
1134,11-05-2014,yogurt
1286,26-04-2014,pickled vegetables
1123,09-08-2014,yogurt
4327,05-08-2014,frozen vegetables
4814,01-12-2014,other vegetables
3277,28-08-2014,hygiene articles
4272,06-05-2014,whole milk
3363,06-08-2014,salty snack
1896,16-12-2014,light bulbs
2524,13-10-2014,whole milk
4243,02-07-2014,white wine
4930,13-08-2014,dessert
3465,27-01-2014,long life bakery product
3938,16-08-2014,cereals
2849,11-02-2014,newspapers
1894,19-08-2014,cream cheese 
2738,11-02-2014,frozen meals
1000,24-06-2014,salty snack
2626,14-02-2014,other vegetables
4216,17-11-2014,light bulbs
1810,09-06-2014,baking powder
1125,30-05-2014,rolls/buns
4392,10-07-2014,whipped/sour cream
3957,19-07-2014,cake bar
4084,28-09-2014,curd
3672,19-06-2014,margarine
3531,18-03-2014,napkins
2066,05-02-2014,pickled vegetables
4376,23-07-2014,yogurt
1662,27-01-2014,fruit/vegetable juice
3728,17-06-2014,whipped/sour cream
2045,02-04-2014,soft cheese
2067,05-04-2014,yogurt
3743,16-10-2014,brown bread
1735,22-04-2014,candy
1547,07-07-2014,cling film/bags
2451,26-02-2014,bottled water
1661,02-03-2014,whipped/sour cream
2365,29-11-2014,misc. beverages
4932,14-05-2014,brown bread
2310,31-10-2014,root vegetables
2138,03-11-2014,brown bread
2903,08-05-2014,sugar
1512,03-06-2014,yogurt
3204,16-12-2014,frozen fish
3324,10-11-2014,coffee
1653,29-05-2014,margarine
1428,23-08-2014,UHT-milk
4598,05-11-2014,pickled vegetables
3062,09-07-2014,baking powder
4681,13-01-2014,bottled water
4671,13-08-2014,soda
4533,13-04-2014,curd
2579,12-12-2014,cream cheese 
3493,09-02-2014,canned beer
1450,04-02-2014,pickled vegetables
1961,06-04-2014,frozen vegetables
4302,07-10-2014,sparkling wine
3950,22-01-2014,cat food
2718,09-02-2014,whole milk
1870,01-02-2014,fruit/vegetable juice
3855,07-05-2014,specialty chocolate
4107,03-06-2014,whipped/sour cream
3476,05-07-2014,white bread
4721,01-05-2014,cream cheese 
3208,20-09-2014,long life bakery product
4349,11-08-2014,cream cheese 
1378,10-12-2014,UHT-milk
4929,27-06-2014,dessert
3186,24-04-2014,misc. beverages
1482,24-09-2014,mayonnaise
1145,13-09-2014,bottled beer
2777,14-09-2014,chocolate
1232,08-08-2014,pasta
2825,21-04-2014,mustard
3785,13-02-2014,fruit/vegetable juice
3000,22-08-2014,fruit/vegetable juice
1980,17-07-2014,salty snack
2154,24-09-2014,soda
1242,16-12-2014,butter
1824,28-11-2014,newspapers
2774,28-06-2014,whole milk
2366,11-10-2014,other vegetables
1987,26-12-2014,chocolate
2306,07-05-2014,bottled water
4979,28-02-2014,beverages
4543,29-06-2014,curd
4021,23-04-2014,newspapers
4623,19-11-2014,cat food
4547,07-09-2014,napkins
2729,22-08-2014,whole milk
4471,13-04-2014,pet care
1625,24-12-2014,frozen meals
2787,30-09-2014,margarine
4541,06-07-2014,margarine
3529,26-02-2014,pastry
2984,22-04-2014,canned beer
1685,18-10-2014,whole milk
4520,23-03-2014,pastry
2355,15-01-2014,chocolate
3883,05-03-2014,UHT-milk
4922,12-07-2014,margarine
3423,16-07-2014,whipped/sour cream
1129,21-12-2014,cream cheese 
4018,21-02-2014,newspapers
3189,01-07-2014,dish cleaner
1235,01-11-2014,bottled water
2262,06-10-2014,domestic eggs
4100,23-04-2014,whole milk
1553,05-09-2014,baking powder
3628,01-08-2014,nut snack
2280,11-12-2014,candles
